Albania,#genre#
Kanali 7 Ⓢ,https://fe.tring.al/delta/105/out/u/1200_1.m3u8
A2 CNN Albania,https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8
ABC News Albania Ⓣ,https://www.twitch.tv/abcnewsal
AlbKanale Music TV Ⓢ,https://albportal.net/albkanalemusic.m3u8
Alpo TV,https://5d00db0e0fcd5.streamlock.net/7236/7236/playlist.m3u8
CNA,https://live1.mediadesk.al/cnatvlive.m3u8
Euronews Albania Ⓨ,https://www.youtube.com/@EuronewsAlbania/live
News 24 Ⓢ,https://tv.balkanweb.com/news24/livestream/playlist.m3u8
Ora News,https://live1.mediadesk.al/oranews.m3u8
Panorama TV Ⓢ,http://198.244.188.94/panorama/livestream/playlist.m3u8
Report TV,https://deb10stream.duckdns.org/hls/stream.m3u8
Syri,https://stream.syritv.al/SyriTV/index.m3u8
Top News Ⓣ,https://www.twitch.tv/topnewsal
Tropoja,https://live.prostream.al/al/smil:tropojatv.smil/playlist.m3u8
TV 7 Albania,https://5d00db0e0fcd5.streamlock.net/7064/7064/playlist.m3u8
TV Apollon Ⓢ,https://live.apollon.tv/Apollon-WEB/video.m3u8?token=tnt3u76re30d2
Vizion Plus,https://fe.tring.al/delta/105/out/u/rdghfhsfhfshs.m3u8
Andorra,#genre#
Andorra TV,https://videos.rtva.ad/live/rtva/playlist.m3u8
Argentina,#genre#
TN Todo Noticias,https://live-01-01-tn.vodgc.net/TN24/index.m3u8
Encuentro Ⓨ Ⓖ,https://www.youtube.com/user/encuentro/live
Pakapaka Ⓨ Ⓖ,https://www.youtube.com/user/CanalPakapaka/live
Mirador TV,https://5fb24b460df87.streamlock.net/live-cont.ar/mirador/playlist.m3u8
Cine.AR,https://5fb24b460df87.streamlock.net/live-cont.ar/cinear/playlist.m3u8
Tec TV,https://tv.initium.net.ar:3939/live/tectvmainlive.m3u8
Televisión Pública Ⓨ,https://www.youtube.com/user/TVPublicaArgentina/live
DeporTV,https://5fb24b460df87.streamlock.net/live-cont.ar/deportv/playlist.m3u8
Canal 26,https://live-edge01.telecentro.net.ar/live/smil:c26.smil/playlist.m3u8
Crónica TV Ⓨ,https://www.youtube.com/c/cronicatv/live
C5N Ⓨ,https://www.youtube.com/c/c5n/live
LN+ Ⓨ,https://www.youtube.com/c/LaNacionMas/live
Telemax,https://live-edge01.telecentro.net.ar/live/smil:tlx.smil/playlist.m3u8
Net TV,https://unlimited1-us.dps.live/nettv/nettv.smil/playlist.m3u8
TV Universidad,https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8
El Trece,https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8
El Nueve,https://octubre-live.cdn.vustreams.com/live/channel09/live.isml/live.m3u8
América Ⓨ,https://www.youtube.com/c/americaenvivo/live
A24 Ⓨ,https://www.youtube.com/c/A24com/live
Australia,#genre#
ABC,https://c.mjh.nz/101002210221/
TVSN,https://tvsn-i.akamaihd.net/hls/live/261837/tvsn/tvsn_750.m3u8
ABC Me,https://c.mjh.nz/101002210224/
ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
M4TV,https://5a32c05065c79.streamlock.net/live/stream/playlist.m3u8
Racing.com,https://racingvic-i.akamaized.net/hls/live/598695/racingvic/1500.m3u8
9Go! Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8
9Life Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8
9Rush Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2010626/rush-syd/master.m3u8
Austria,#genre#
ORF 1 Ⓖ,https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8
ORF 2 Ⓖ,https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8
